state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
13,315,"Wilcox County, Georgia",8839,5344
13,317,"Wilkes County, Georgia",9610,4947
13,319,"Wilkinson County, Georgia",8852,4233
13,321,"Worth County, Georgia",20706,9859
15,001,"Hawaii County, Hawaii",202163,100828
15,003,"Honolulu County, Hawaii",1010100,512085
15,005,"Kalawao County, Hawaii",50,34
15,007,"Kauai County, Hawaii",73511,36809
15,009,"Maui County, Hawaii",164765,82304
16,001,"Ada County, Idaho",497494,251101
16,003,"Adams County, Idaho",4464,2305
16,005,"Bannock County, Idaho",87434,44037
16,007,"Bear Lake County, Idaho",6436,3243
16,009,"Benewah County, Idaho",9731,4996
16,011,"Bingham County, Idaho",48253,24367
16,013,"Blaine County, Idaho",24248,12648
16,015,"Boise County, Idaho",7809,3907
16,017,"Bonner County, Idaho",47976,24159
16,019,"Bonneville County, Idaho",124490,62477
16,021,"Boundary County, Idaho",12335,6230
16,023,"Butte County, Idaho",2605,1305
16,025,"Camas County, Idaho",1133,559
16,027,"Canyon County, Idaho",235006,117340
16,029,"Caribou County, Idaho",7058,3704
16,031,"Cassia County, Idaho",24859,12741
16,033,"Clark County, Idaho",756,387
16,035,"Clearwater County, Idaho",8810,4912
16,037,"Custer County, Idaho",4344,2286
16,039,"Elmore County, Idaho",28752,15367
16,041,"Franklin County, Idaho",14376,7425
16,043,"Fremont County, Idaho",13519,7028
16,045,"Gem County, Idaho",19250,9776
16,047,"Gooding County, Idaho",15520,7917
16,049,"Idaho County, Idaho",16787,8835
16,051,"Jefferson County, Idaho",31383,16051
16,053,"Jerome County, Idaho",24474,12576
16,055,"Kootenai County, Idaho",173396,86516
16,057,"Latah County, Idaho",39872,20524
16,059,"Lemhi County, Idaho",8043,4228
16,061,"Lewis County, Idaho",3630,1825
16,063,"Lincoln County, Idaho",5203,2779
16,065,"Madison County, Idaho",52487,23769
16,067,"Minidoka County, Idaho",21626,10930
16,069,"Nez Perce County, Idaho",42200,21000
16,071,"Oneida County, Idaho",4572,2315
16,073,"Owyhee County, Idaho",12043,6238
16,075,"Payette County, Idaho",25571,12729
16,077,"Power County, Idaho",7918,3982
16,079,"Shoshone County, Idaho",13399,6666
16,081,"Teton County, Idaho",11813,6046
16,083,"Twin Falls County, Idaho",90592,45073
16,085,"Valley County, Idaho",11830,6165
16,087,"Washington County, Idaho",10612,5264
17,001,"Adams County, Illinois",65583,32311
17,003,"Alexander County, Illinois",5261,2561
17,005,"Bond County, Illinois",16750,8893
17,007,"Boone County, Illinois",53459,26938
17,009,"Brown County, Illinois",6334,3992
17,011,"Bureau County, Illinois",33203,16455
17,013,"Calhoun County, Illinois",4472,2298
17,015,"Carroll County, Illinois",15594,8383
17,017,"Cass County, Illinois",12955,6557
17,019,"Champaign County, Illinois",206525,103245
17,021,"Christian County, Illinois",33893,17737
17,023,"Clark County, Illinois",15467,7715
17,025,"Clay County, Illinois",13248,6650
17,027,"Clinton County, Illinois",36998,19318
